Strain,Stress (MPa)
0.000157415,26.23603945
0.000158175,26.3367035
0.000158936,26.43736754
0.000159696,26.53803159
0.000160456,26.63869564
0.000161217,26.73935968
0.000161977,26.84002373
0.000162738,26.94068778
0.000163498,27.04135183
0.000164259,27.14201587
0.000165019,27.24267992
0.00016578,27.34334397
0.00016654,27.44400802
0.000167301,27.54467206
0.000168061,27.64533611
0.000168822,27.74600016
0.000169582,27.84666421
0.000170343,27.94732825
0.000171103,28.0479923
0.000171863,28.20624122
0.000172624,28.36449014
0.000173384,28.52273906
0.000174145,28.68098797
0.000174905,28.83923689
0.000175666,28.99748581
0.000176426,29.15573473
0.000177186,29.31398365
0.000177947,29.47223257
0.000178707,29.63048148
0.000179468,29.7887304
0.000180228,29.94697932
0.000180989,30.10522824
0.000181749,30.26347716
0.00018251,30.42172608
0.00018327,30.57997499
0.00018403,30.73822391
0.000184791,30.89647283
0.000185551,31.05472175
0.000186312,31.21297067
0.000187072,31.37121959
0.000187833,31.5294685
0.000188593,31.68771742
0.000189353,31.84596634
0.000190114,32.00421526
0.000190874,32.16246418
0.000191635,32.3207131
0.000192395,32.47896201
0.000193156,32.63721093
0.000193916,32.79545985
0.000194676,32.92491633
0.000195437,33.05437282
0.000196197,33.1838293
0.000196958,33.31328578
0.000197718,33.44274226
0.000198479,33.57219875
0.000199239,33.70165523
0.0002,33.83111171
0.00020076,33.96056819
0.000201521,34.09002468
0.000202281,34.21948116
0.000203042,34.34893764
0.000203802,34.47839412
0.000204563,34.60785061
0.000205323,34.73730709
0.000206083,34.86676357
0.000206844,34.99622006
0.000207604,35.12567654
0.000208365,35.25513302
0.000209125,35.3845895
0.000209886,35.51404599
0.000210646,35.64350247
0.000211407,35.77295895
0.000212167,35.90241543
0.000212928,36.03187192
0.000213688,36.1613284
0.000214449,36.29078488
0.000215209,36.42024136
0.00021597,36.54969785
0.00021673,36.67915433
0.00021749,36.77981838
0.000218251,36.88048242
0.000219011,36.98114647
0.000219772,37.08181052
0.000220532,37.18247457
0.000221293,37.28313861
0.000222053,37.38380266
0.000222814,37.48446671
0.000223574,37.58513076
0.000224335,37.6857948
0.000225095,37.78645885
0.000225856,37.8871229
0.000226616,37.98778695
0.000227377,38.08845099
0.000228137,38.18911504
0.000228897,38.28977909
0.000229658,38.39044313
0.000230418,38.49110718
0.000231179,38.59177123
0.000231939,38.69243528
0.0002327,38.79309932
0.00023346,38.89376337
0.000234221,38.99442742
0.000234981,39.09509147
0.000235742,39.19575551
0.000236502,39.29641956
0.000237263,39.39708361
0.000238023,39.49774766
0.000238784,39.5984117
0.000239544,39.69907575
0.000240304,39.81413601
0.000241065,39.92919628
0.000241825,40.04425654
0.000242586,40.15931681
0.000243346,40.27437708
0.000244107,40.38943734
0.000244867,40.50449761
0.000245627,40.61955787
0.000246388,40.73461814
0.000247148,40.8496784
0.000247909,40.96473867
0.000248669,41.07979893
0.00024943,41.1948592
0.00025019,41.30991946
0.000250951,41.42497973
0.000251711,41.54003999
0.000252471,41.65510026
0.000253232,41.77016052
0.000253992,41.88522079
0.000254753,42.00028105
0.000255513,42.11534132
0.000256274,42.23040158
0.000257034,42.34546185
0.000257794,42.46052211
0.000258555,42.57558238
0.000259315,42.69064264
0.000260076,42.80570291
0.000260836,42.92076317
0.000261597,43.03582344
0.000262357,43.1508837
0.000262737,43.2659987
0.000263117,43.38111371
0.000263498,43.49622871
0.000263878,43.61134371
0.000264258,43.72645872
0.000264638,43.84157372
0.000265019,43.95668872
0.000265399,44.07180373
0.000265779,44.18691873
0.000266159,44.30203373
